overall_score,mean_bleu-1,mean_bleu-2,mean_bleu-3,mean_bleu-4,mean_Rouge-1-R,mean_Rouge-1-P,mean_Rouge-1-F,mean_Rouge-2-R,mean_Rouge-2-P,mean_Rouge-2-F,mean_Rouge-L-R,mean_Rouge-L-P,mean_Rouge-L-F,timestamp,step,model_name
0.1643,0.1643,0.0992,0.0721,0.059,0.257,0.555,0.3431,0.1162,0.2933,0.1611,0.1426,0.2323,0.162,20250914_133622,50,model-step50
0.0247,0.0247,0.0177,0.0148,0.0133,0.1886,0.6789,0.2931,0.0901,0.4384,0.1481,0.1197,0.6289,0.1966,20250914_134226,100,model-step100
0.0196,0.0196,0.0156,0.0132,0.0121,0.1947,0.6848,0.3021,0.0946,0.4551,0.1559,0.1225,0.6472,0.2049,20250914_134738,150,model-step150
0.0212,0.0212,0.0168,0.0143,0.013,0.1976,0.687,0.3056,0.0969,0.4605,0.1594,0.1245,0.6521,0.2079,20250914_135226,200,model-step200
0.0212,0.0212,0.017,0.0146,0.0135,0.2017,0.696,0.3119,0.1003,0.4715,0.1647,0.1273,0.6586,0.2123,20250914_135719,250,model-step250
0.0222,0.0222,0.0179,0.0153,0.0141,0.2041,0.7058,0.3154,0.1035,0.4839,0.1696,0.1295,0.6708,0.2158,20250914_140157,300,model-step300
0.022,0.022,0.0182,0.016,0.0149,0.2104,0.7248,0.325,0.1115,0.5215,0.1829,0.135,0.693,0.2247,20250914_140639,350,model-step350
0.0214,0.0214,0.0176,0.0154,0.0145,0.2077,0.7159,0.3207,0.1084,0.508,0.1779,0.1318,0.6838,0.2198,20250914_141146,400,model-step400
0.0207,0.0207,0.0171,0.015,0.014,0.2078,0.7249,0.3217,0.1099,0.5207,0.1807,0.1318,0.6934,0.2204,20250914_141638,450,model-step450
0.0215,0.0215,0.0175,0.0153,0.0142,0.2079,0.7223,0.3216,0.1082,0.5106,0.1777,0.1316,0.6877,0.2197,20250914_142123,500,model-step500
0.0214,0.0214,0.0175,0.0153,0.0144,0.2091,0.7299,0.3239,0.1104,0.5224,0.1814,0.1329,0.6969,0.222,20250914_142548,534,model-step534
